"","Year","Month","tmax","tmin","af","rain","sun","date","month","station"
"179",1971,"11",10.8,0.1,15,57.6,107,1971-11-15,"Nov","hurn"
"180",1971,"12",9.4,3.9,8,32.1,37.2,1971-12-15,"Dec","hurn"
"181",1972,"1",7.5,1.7,10,107,43.6,1972-01-15,"Jan","hurn"
"182",1972,"2",8.3,2.6,3,108.4,40.1,1972-02-15,"Feb","hurn"
"183",1972,"3",12.1,2.4,4,100.6,166.6,1972-03-15,"Mar","hurn"
"184",1972,"4",13.2,5,2,61.1,175.5,1972-04-15,"Apr","hurn"
"185",1972,"5",14.4,6.8,0,79.4,168.2,1972-05-15,"May","hurn"
"186",1972,"6",15.5,7.8,0,56.7,156.7,1972-06-15,"Jun","hurn"
"187",1972,"7",20.6,11.1,0,32.6,198.4,1972-07-15,"Jul","hurn"
"188",1972,"8",21,10.4,0,25.4,207.8,1972-08-15,"Aug","hurn"
"189",1972,"9",17.3,7.1,0,29.6,150.6,1972-09-15,"Sep","hurn"
"190",1972,"10",15,6.5,1,26.4,105.6,1972-10-15,"Oct","hurn"
"191",1972,"11",10.4,2,12,95.6,78.2,1972-11-15,"Nov","hurn"
"192",1972,"12",10.1,2.9,10,125.8,58.6,1972-12-15,"Dec","hurn"
"193",1973,"1",7.8,1.3,13,46.7,27,1973-01-15,"Jan","hurn"
"194",1973,"2",8.4,0.1,14,15.9,88.1,1973-02-15,"Feb","hurn"
"195",1973,"3",11,0,18,14.9,143.8,1973-03-15,"Mar","hurn"
"196",1973,"4",12.3,2.6,6,40.2,180.9,1973-04-15,"Apr","hurn"
"197",1973,"5",15.9,7.3,1,77.3,176.6,1973-05-15,"May","hurn"
"198",1973,"6",20.1,9.5,0,51.6,237.5,1973-06-15,"Jun","hurn"
"199",1973,"7",20.9,11,0,27.9,193.4,1973-07-15,"Jul","hurn"
"200",1973,"8",22.9,12,0,37,218.7,1973-08-15,"Aug","hurn"
"201",1973,"9",19.8,10.3,0,52.4,161.9,1973-09-15,"Sep","hurn"
"202",1973,"10",14.3,4.7,7,63.9,125.8,1973-10-15,"Oct","hurn"
"203",1973,"11",11.1,2.5,12,31.4,81.8,1973-11-15,"Nov","hurn"
"204",1973,"12",9.4,1.8,13,49.9,53.1,1973-12-15,"Dec","hurn"
"205",1974,"1",10,3.9,3,121.1,43.5,1974-01-15,"Jan","hurn"
"206",1974,"2",9.5,2,10,120.9,80.4,1974-02-15,"Feb","hurn"
"207",1974,"3",10.3,2.2,10,35.9,104.5,1974-03-15,"Mar","hurn"
"208",1974,"4",14.2,2.9,7,10.4,191.8,1974-04-15,"Apr","hurn"
"209",1974,"5",15.9,5.9,1,41.8,237.6,1974-05-15,"May","hurn"
"210",1974,"6",19.2,9.5,0,59.7,217.7,1974-06-15,"Jun","hurn"
"211",1974,"7",19.7,11.7,0,39,190.8,1974-07-15,"Jul","hurn"
"212",1974,"8",20.1,10.2,0,83.9,209.6,1974-08-15,"Aug","hurn"
"213",1974,"9",16.6,8.7,1,176,159.5,1974-09-15,"Sep","hurn"
"214",1974,"10",11.9,4.1,2,49.1,127.1,1974-10-15,"Oct","hurn"
"215",1974,"11",11.2,4.8,0,150.6,64.2,1974-11-15,"Nov","hurn"
"216",1974,"12",11.1,5.8,1,45.4,48.5,1974-12-15,"Dec","hurn"
"217",1975,"1",10.5,3.8,6,115.4,49.5,1975-01-15,"Jan","hurn"
"218",1975,"2",9.5,0.8,13,24.3,90.8,1975-02-15,"Feb","hurn"
"219",1975,"3",8.9,1.8,10,80.8,91.2,1975-03-15,"Mar","hurn"
"220",1975,"4",12.6,3.7,9,37.9,159.2,1975-04-15,"Apr","hurn"
"221",1975,"5",15.2,6,0,32.2,199.5,1975-05-15,"May","hurn"
"222",1975,"6",21.7,8.7,0,9.4,320.1,1975-06-15,"Jun","hurn"
"223",1975,"7",22.6,12.3,0,15.6,258,1975-07-15,"Jul","hurn"
"224",1975,"8",23.6,12.5,0,46,248.2,1975-08-15,"Aug","hurn"
"225",1975,"9",18.4,8.6,0,143.8,156,1975-09-15,"Sep","hurn"
"226",1975,"10",14.7,5.8,2,14.8,137.7,1975-10-15,"Oct","hurn"
"227",1975,"11",11.1,2.2,7,67.3,93.7,1975-11-15,"Nov","hurn"
"228",1975,"12",7.8,0.6,15,25.1,57.1,1975-12-15,"Dec","hurn"
"229",1976,"1",9.1,2.8,11,9.6,60,1976-01-15,"Jan","hurn"
"230",1976,"2",7.5,2.1,11,34.4,35.2,1976-02-15,"Feb","hurn"
"231",1976,"3",9.6,0.7,13,37.4,136,1976-03-15,"Mar","hurn"
"232",1976,"4",13.8,2.3,8,7,206.2,1976-04-15,"Apr","hurn"
"233",1976,"5",17.4,7.1,2,17,235.3,1976-05-15,"May","hurn"
"234",1976,"6",23.4,11,0,6,256.5,1976-06-15,"Jun","hurn"
"235",1976,"7",24.9,13,0,10,302.7,1976-07-15,"Jul","hurn"
"236",1976,"8",24.6,10.2,0,13.6,308.4,1976-08-15,"Aug","hurn"
"237",1976,"9",18.1,9.1,0,118.2,139.2,1976-09-15,"Sep","hurn"
"238",1976,"10",14.6,7.8,1,175.4,66.1,1976-10-15,"Oct","hurn"
"239",1976,"11",10.5,2.5,9,128.4,69.1,1976-11-15,"Nov","hurn"
"240",1976,"12",6.1,-1,20,125.8,53.6,1976-12-15,"Dec","hurn"
"241",1977,"1",6.8,0.3,14,96.6,43,1977-01-15,"Jan","hurn"
"242",1977,"2",9.6,3.5,7,131.1,85.3,1977-02-15,"Feb","hurn"
"243",1977,"3",10.9,4.3,5,85.3,114.7,1977-03-15,"Mar","hurn"
"244",1977,"4",11.8,3,9,17.2,181.2,1977-04-15,"Apr","hurn"
"245",1977,"5",16.4,5.9,3,52.4,238.2,1977-05-15,"May","hurn"
"246",1977,"6",16.5,8.5,0,93.2,156.2,1977-06-15,"Jun","hurn"
"247",1977,"7",21.2,11.6,0,25.7,222.2,1977-07-15,"Jul","hurn"
"248",1977,"8",20.1,10.9,0,114.5,174.5,1977-08-15,"Aug","hurn"
"249",1977,"9",17.1,9.2,0,31.4,141.6,1977-09-15,"Sep","hurn"
"250",1977,"10",16,8.6,0,55.2,122.1,1977-10-15,"Oct","hurn"
"251",1977,"11",10.4,3.9,9,84.7,108.1,1977-11-15,"Nov","hurn"
"252",1977,"12",9.9,4,2,119,44.9,1977-12-15,"Dec","hurn"
"253",1978,"1",7.6,0.5,14,100.2,85.8,1978-01-15,"Jan","hurn"
"254",1978,"2",6.1,0.1,15,124.1,72.5,1978-02-15,"Feb","hurn"
"255",1978,"3",10.6,2.9,8,67.1,133,1978-03-15,"Mar","hurn"
"256",1978,"4",10.7,3,7,58.1,129.1,1978-04-15,"Apr","hurn"
"257",1978,"5",16.6,6,0,38.6,213.8,1978-05-15,"May","hurn"
"258",1978,"6",18.7,9,0,28.8,199.1,1978-06-15,"Jun","hurn"
"259",1978,"7",19.1,11.4,0,86.5,142.2,1978-07-15,"Jul","hurn"
"260",1978,"8",19.8,10.7,0,44.7,205.2,1978-08-15,"Aug","hurn"
"261",1978,"9",18.9,8.7,0,19.7,179.5,1978-09-15,"Sep","hurn"
"262",1978,"10",16.4,7.3,0,2.3,108.7,1978-10-15,"Oct","hurn"
"263",1978,"11",12.5,5,6,18.7,71.5,1978-11-15,"Nov","hurn"
"264",1978,"12",8.6,3.1,10,208.2,28.3,1978-12-15,"Dec","hurn"
"265",1979,"1",4.8,-3.9,24,97.7,78.9,1979-01-15,"Jan","hurn"
"266",1979,"2",5.3,-1.5,17,67.3,60.4,1979-02-15,"Feb","hurn"
"267",1979,"3",8.7,1.8,7,93.9,110.7,1979-03-15,"Mar","hurn"
"268",1979,"4",12.2,4.3,4,56.1,142.7,1979-04-15,"Apr","hurn"
"269",1979,"5",14.2,5.2,6,113.7,227.8,1979-05-15,"May","hurn"
"270",1979,"6",18.1,9.6,0,35.4,171.4,1979-06-15,"Jun","hurn"
"271",1979,"7",22.1,11.5,0,32.4,220.6,1979-07-15,"Jul","hurn"
"272",1979,"8",19.2,10.7,0,48.3,203.1,1979-08-15,"Aug","hurn"
"273",1979,"9",18,7.9,0,11.2,172.8,1979-09-15,"Sep","hurn"
"274",1979,"10",15.8,7.8,1,62.8,111.9,1979-10-15,"Oct","hurn"
"275",1979,"11",11.3,2.2,14,37.8,77.8,1979-11-15,"Nov","hurn"
"276",1979,"12",9.6,3.1,8,147.8,64.5,1979-12-15,"Dec","hurn"
"277",1980,"1",6.2,-2.3,24,54.2,88.9,1980-01-15,"Jan","hurn"
"278",1980,"2",9.9,3.1,5,76.9,65.4,1980-02-15,"Feb","hurn"
"279",1980,"3",8.8,1.7,7,94.6,85.2,1980-03-15,"Mar","hurn"
"280",1980,"4",14.1,4,5,30.7,196.2,1980-04-15,"Apr","hurn"
"281",1980,"5",17,5.4,2,32.4,225.9,1980-05-15,"May","hurn"
"282",1980,"6",18.7,9.4,0,109,196.7,1980-06-15,"Jun","hurn"
"283",1980,"7",19.1,10.3,0,38.6,161.7,1980-07-15,"Jul","hurn"
"284",1980,"8",20.8,11.9,0,72.4,190.5,1980-08-15,"Aug","hurn"
