"","Year","Month","tmax","tmin","af","rain","sun"
"417",1991,9,20.8,9.5,0,65.6,185.6
"418",1991,10,14.2,6.5,3,96.4,89.7
"419",1991,11,10.8,2.9,9,51.4,67.7
"420",1991,12,8.7,1.3,11,35.2,53.5
"421",1992,1,7,0.2,17,20.2,66.8
"422",1992,2,9.2,1.2,14,31.8,60.2
"423",1992,3,11.3,3.8,2,60.1,70.8
"424",1992,4,12.9,4.4,5,83.9,158.6
"425",1992,5,19.4,7.9,0,21.5,279.5
"426",1992,6,21.4,9.4,0,28.4,253.8
"427",1992,7,20.9,12.6,0,51.1,169.7
"428",1992,8,20.3,12.3,0,89.7,151.2
"429",1992,9,17.8,10.6,0,97.7,130.6
"430",1992,10,12.6,3.4,7,52.7,126.7
"431",1992,11,12.4,4.2,3,148.4,71.4
"432",1992,12,7.7,0.6,16,96.5,65.1
"433",1993,1,10.2,3.2,8,101.8,38.8
"434",1993,2,7.9,2.3,6,9.8,62.6
"435",1993,3,10.8,1.4,13,54.4,139.9
"436",1993,4,13.8,5.8,4,98.8,129
"437",1993,5,16.9,7.8,0,51.1,190.3
"438",1993,6,20.4,10.1,0,57.2,230.2
"439",1993,7,20.6,11.1,0,56.7,189.7
"440",1993,8,20.8,9.3,0,35.6,234.2
"441",1993,9,17.3,7.8,0,153.3,130
"442",1993,10,12.8,5.3,5,163.5,118.8
"443",1993,11,9.4,0.3,15,76.9,78.2
"444",1993,12,9.7,2.8,6,178.7,64
"445",1994,1,9.4,2.1,9,130.2,75.5
"446",1994,2,8.2,0.2,14,112.6,66.3
"447",1994,3,11.8,4.5,4,65.8,111.2
"448",1994,4,12.5,3.9,2,54.3,187.9
"449",1994,5,15.1,7.3,0,81.7,165.6
"450",1994,6,19.8,9.2,0,19.2,268
"451",1994,7,23.9,12.4,0,22.6,269.2
"452",1994,8,21.9,12,0,41.6,195.1
"453",1994,9,18,9,0,84.3,144.3
"454",1994,10,15.8,5.4,5,133.9,169.4
"455",1994,11,13.6,8.4,0,99.1,30.5
"456",1994,12,10.9,3.1,9,109,60.9
"457",1995,1,9.2,1.9,8,166.1,50.5
"458",1995,2,10.8,4.4,3,125.3,67
"459",1995,3,10.8,0.6,16,40.8,180.1
"460",1995,4,14.1,4.2,4,27.6,168.6
"461",1995,5,17.6,6,2,25.2,260.7
"462",1995,6,21.3,9.3,0,7.1,239.7
"463",1995,7,24.6,13.4,0,14.8,245.4
"464",1995,8,26.9,12.8,0,4.7,299.8
"465",1995,9,19,8.9,0,171.5,151.3
"466",1995,10,17.3,9.6,0,51.9,118.2
"467",1995,11,12.3,3.6,11,121.9,84.4
"468",1995,12,6.2,0.8,14,80.8,49.1
"469",1996,1,7.9,3.7,4,74.5,32.1
"470",1996,2,6.9,-1.1,17,93.7,110.5
"471",1996,3,8.8,1.4,9,55.4,84
"472",1996,4,13.2,3.9,7,36.2,149
"473",1996,5,14.2,4.7,3,53.8,192.5
"474",1996,6,19.8,8.4,0,35.7,294.5
"475",1996,7,22.6,10.9,0,16.6,260
"476",1996,8,22,10.9,0,83.4,255.2
"477",1996,9,18.7,8.5,0,37.4,156.3
"478",1996,10,16,8.4,0,61,136
"479",1996,11,10.8,1.8,16,145.7,105.3
"480",1996,12,6.4,0.8,11,37.7,62.6
"481",1997,1,5.6,-1,18,20.7,54.6
"482",1997,2,10.4,3.7,6,99.7,57.4
"483",1997,3,12.7,3.7,5,34.7,142.4
"484",1997,4,15.2,1.7,12,21.1,242.8
"485",1997,5,17.3,6.7,1,43.4,262
"486",1997,6,18.7,11,0,116,155.5
"487",1997,7,22.5,11.3,0,10.8,273.9
"488",1997,8,23.3,14.7,0,117.1,176.8
"489",1997,9,19.9,8.3,0,10.3,194.3
"490",1997,10,16.3,6.3,6,64.9,163.2
"491",1997,11,12.8,4.8,9,169.5,80.3
"492",1997,12,10,2.4,12,107.2,68.1
"493",1998,1,9.3,2.4,12,128.4,80.9
"494",1998,2,11,1.6,9,14.1,101.4
"495",1998,3,12,4.8,6,72.2,94
"496",1998,4,12.2,4.1,5,93.1,147.6
"497",1998,5,19.7,8.7,1,36.7,246.9
"498",1998,6,18.7,11,0,94.7,182.9
"499",1998,7,20.2,11.7,0,54.2,192.1
"500",1998,8,22.7,9.9,0,18,272.1
"501",1998,9,19.8,11,0,100.1,157.8
"502",1998,10,15.3,7.7,1,146.1,114.2
"503",1998,11,10.8,2.5,9,57,124.9
"504",1998,12,9.9,2.2,9,95.3,41.3
"505",1999,1,10,2.5,6,132.4,72.7
"506",1999,2,9.2,2.1,7,36.2,88.7
"507",1999,3,11.7,2.4,10,27.8,142.6
"508",1999,4,14,4.8,6,86.4,176
"509",1999,5,18.1,8.7,0,15.6,190.4
"510",1999,6,19.3,8.5,0,65.8,225.2
"511",1999,7,24,12,0,6.4,269.1
"512",1999,8,21.5,12.2,0,101.1,195
"513",1999,9,20.4,11.4,0,131.2,176.3
"514",1999,10,15.7,6.1,3,77.8,154.6
"515",1999,11,11.3,4.1,3,57.8,93.7
"516",1999,12,9.2,1.6,10,180.6,81.5
"517",2000,1,8.8,0,17,39.2,86.5
"518",2000,2,10.6,2.7,8,85.6,104.3
"519",2000,3,12,2.9,9,30.2,140.1
"520",2000,4,12.2,3.9,5,150.6,155.2
"521",2000,5,17.4,8.4,0,88.1,214.9
"522",2000,6,19.1,10.5,0,38.6,205.2
"523",2000,7,20.9,11.2,0,42.8,223.3
"524",2000,8,22.5,11.7,0,25,219.6
"525",2000,9,19.5,11.1,0,112.8,138.6
"526",2000,10,15,7.1,0,180.2,107.1
"527",2000,11,11.3,3.3,6,201.6,89.2
"528",2000,12,9.2,4.4,7,197.4,42.6
"529",2001,1,7.9,0.8,15,141.2,89.7
"530",2001,2,9.4,1.2,15,83.2,91.4
"531",2001,3,9.9,3.4,5,135,72.3
"532",2001,4,12.3,4.4,4,73.8,141.8
"533",2001,5,18,6.8,0,23.4,241.5
"534",2001,6,19.9,8.8,0,31.8,271.3
"535",2001,7,22.3,12,0,54.8,253.9
"536",2001,8,21.6,12.3,0,48,207.5
"537",2001,9,19,9.6,0,46.4,161.5
"538",2001,10,17,11,0,150.4,97.6
"539",2001,11,11.6,2.6,10,35.4,97.8
"540",2001,12,7.8,-0.4,20,28.4,107.4
"541",2002,1,9.9,3,10,77.6,42.8
"542",2002,2,11,4.4,6,101.2,78.4
"543",2002,3,12.1,3.6,7,50.2,105.7
"544",2002,4,15,4.7,2,38.8,225.3
"545",2002,5,16.3,8.1,0,84.2,203.1
"546",2002,6,18.4,10,0,39.4,188.9
"547",2002,7,20.7,11.6,0,71.4,189.2
"548",2002,8,21.8,12,0,68.4,199.2
"549",2002,9,20,8.9,0,49.4,196.2
"550",2002,10,15.2,6.9,3,105.2,110.7
"551",2002,11,13,6.9,0,234.6,65
"552",2002,12,9.3,4.7,4,135.8,44.1
"553",2003,1,8.4,0.8,14,81.4,107.2
"554",2003,2,8.6,0.8,15,43,101.2
